"Category","Driver","Variable","Name"
"biology","biomass","Chrysochromulina sp. [cells/l]","Chrysochromulina sp."
"biology","biomass","Cryptophyceae > 10um [cells/l]",
"biology","biomass","Dinophysis  sp. [cells/l]",
"biology","biomass","Emiliania huxleyi [cells/l]",
"biology","biomass","Flagellatae 3-7um [cells/l]",
"biology","biomass","Gymnodinium arcticum [cells/l]",
"biology","biomass","Gymnodinium galeatum [cells/l]",
"biology","biomass","Gymnodinium gracilentum [cells/l]",
"biology","biomass","Gymnodinium simplex [cells/l]",
"biology","biomass","Gyrodinium sp. [cells/l]","Gyrodinium sp."
"biology","biomass","Heterocapsa rotundata [cells/l]",
"biology","biomass","Mesodinium rubrum [cells/l]",
"biology","biomass","Phaeocystis pouchetii [cells/l]",
"biology","biomass","Prorocentrum sp. [cells/l]","Prorocentrum sp."
"biology","biomass","Pyramimonas sp. [cells/l]","Pyramimonas sp."
"biology","biomass","Strombididae non det. [cells/l]",
"biology","biomass","Teleaulax amphioxeia [cells/l]",
"biology","biomass","Amphidinium sphenoides [cells/l]",
"biology","biomass","Coccolithales  Non det. 5-10um [cells/l]",
"biology","biomass","Dinobryon balticum [cells/l]",
"biology","biomass","Dinobryon spp. cyst [cells/l]",
"biology","biomass","Flagellatae >7um [cells/l]",
"biology","biomass","Flagellatae ~3um [cells/l]",
"biology","biomass","Gymnodinium sp. 10-20um [cells/l]",
"biology","biomass","Gymnodinium wulffii [cells/l]",
"biology","biomass","Protoperidinium pallidum [cells/l]",
"biology","biomass","Thalassiosira antarctica [cells/l]",
"biology","biomass","Thalassiosira sp. [cells/l]","Thalassiosira sp."
"biology","biomass","Gymnodinium sp. < 10um [cells/l]",
"biology","biomass","Coccolithus pelagicus [cells/l]",
"biology","biomass","Pennate non det. 5-10um [cells/l]",
"biology","biomass","Pronoctiluca pelagica [cells/l]",
"biology","biomass","Cryptophyceae Non det. [cells/l]",
"biology","biomass","Lohmanniella oviformis [cells/l]",
"biology","biomass","Tintinnopsis sp. [cells/l]","Tintinnopsis sp."
"biology","biomass","Algirosphaera robusta [cells/l]",
"biology","biomass","Didinium gargantua [cells/l]",
"biology","biomass","Dinobryon faculiferum [cells/l]",
"biology","biomass","Dinoflagellatae Non det. [cells/l]",
"biology","biomass","Gymnodinium sp. [cells/l]","Gymnodinium sp."
"biology","biomass","Gymnodinium sp. 20-30um [cells/l]",
"biology","biomass","Katodinium glaucum [cells/l]",
"biology","biomass","Lennoxia faveolata [cells/l]",
"biology","biomass","Licmophora gracilis [cells/l]",
"biology","biomass","Navicula sp. [cells/l]","Navicula sp."
"biology","biomass","Prorocentrum cordatum  old Prorocentrum minimum [cells/l]",
"biology","biomass","Protoperidinium brevipes [cells/l]",
"biology","biomass","Pseudo-nitzschia granii [cells/l]",
"biology","biomass","Tontonia sp. [cells/l]",
"biology","biomass","Fragilariopsis sp. [cells/l]","Fragilariopsis sp."
"biology","biomass","Gyrodinium fusiforme [cells/l]",
"biology","biomass","Gyrodinium spirale [cells/l]",
"biology","biomass","Lessardia elongata [cells/l]",
"biology","biomass","Nematopsides vigilans [cells/l]",
"biology","biomass","Parafavella obtusangula [cells/l]",
"biology","biomass","Protoperidinium sp. [cells/l]","Protoperidinium sp."
"biology","biomass","Ptychocylis acuta [cells/l]",
"biology","biomass","Rhizosolenia hebetata f.semispina [cells/l]",
"biology","biomass","Gymnodinium sp. 30-40um [cells/l]",
"biology","biomass","Protoperidinium cerasus [cells/l]",
"biology","biomass","Scuticociliata non det. [cells/l]",
"biology","biomass","Spirotrichea non det. [cells/l]",
"biology","biomass","Torodinium robustum [cells/l]",
"biology","biomass","Choanoflagellida non det. [cells/l]",
"biology","biomass","Gyrodinium grave [cells/l]",
"biology","biomass","Laboea strobila [cells/l]",
"biology","biomass","Monosiga marina [cells/l]",
"biology","biomass","Strombidium sulcatum [cells/l]",
"biology","biomass","Thecate dinoflagellatae non det. 10-20um [cells/l]",
"biology","biomass","Unidentified cells 10-20um [cells/l]",
"biology","biomass","Acanthostomella norvegica [cells/l]",
"biology","biomass","Ciliophora non det Non det. 70-80um [cells/l]",
"biology","biomass","Gyrodinium formosum [cells/l]",
"biology","biomass","Leucocryptos marina [cells/l]",
"biology","biomass","Strombidium conicum [cells/l]",
"biology","biomass","Amphidinium longum [cells/l]",
"biology","biomass","Ciliophora non det Non det. 40-50um [cells/l]",
"biology","biomass","Didinium nasutum [cells/l]",
"biology","biomass","Dinophysis contracta [cells/l]",
"biology","biomass","Diplopelta bomba [cells/l]",
"biology","biomass","Pennate non det. 20-30um [cells/l]",
"biology","biomass","Pseudopedinella pyriformis [cells/l]",
"biology","biomass","Dictyochophyceae Non det. [cells/l]",
"biology","biomass","Dinobryon sp. [cells/l]","Dinobryon sp."
"biology","biomass","Eutintinnus inguilinus [cells/l]",
"biology","biomass","Eutreptiella sp. [cells/l]","Eutreptiella sp."
"biology","biomass","Fragilariopsis pseudonana [cells/l]",
"biology","biomass","Pachysphaera pelagica [cells/l]",
"biology","biomass","Protoperidinium pellucidum [cells/l]",
"biology","biomass","Thalassiosira sp. 10-20um [cells/l]",
"biology","biomass","Thecate dinoflagellatae non det. 30-40um [cells/l]",
"biology","biomass","Ciliophora non det Non det. 50-60um [cells/l]",
"biology","biomass","Foissneridium constrictum [cells/l]",
"biology","biomass","Gymnodinium sp. 1 [cells/l]",
"biology","biomass","Gyrodinium sp. 30-40um [cells/l]",
"biology","biomass","Ciliophora non det [cells/l]",
"biology","biomass","Chlorophyceae non det. [cells/l]",
"biology","biomass","Cryptophyceae < 10um [cells/l]",
"biology","biomass","Gymnodinium sp. cf. G. parvum (GG6) [cells/l]",
"biology","biomass","Coccolithales  non.det [cells/l]",
"biology","biomass","Flagellatae 5-10um [cells/l]",
"biology","biomass","Gymnodinium sp. krasnal [cells/l]",
"biology","biomass","Gyrodinium flagellare [cells/l]",
"biology","biomass","Heterocapsa  sp. [cells/l]",
"biology","biomass","Oxyrrhis  sp. [cells/l]",
"biology","biomass","Protoperidinium bipes [cells/l]",
"biology","biomass","Ceratoneis closterium [cells/l]",
"biology","biomass","Chlamydomonas sp. [cells/l]","Chlamydomonas sp."
"biology","biomass","Micracanthodinium claytonii [cells/l]",
"biology","biomass","Telonema sp. [cells/l]","Telonema sp."
"biology","biomass","Thalassiosira nordenskioeldii [cells/l]",
"biology","biomass","Fragilariopsis cylindrus [cells/l]",
"biology","biomass","Meringosphaera tenerrima [cells/l]",
"biology","biomass","Amphidinium sp. [cells/l]","Amphidinium sp."
"biology","biomass","Strobilidium  sp. [cells/l]",
"biology","biomass","Leegaardiella sol [cells/l]",
"biology","biomass","Alexandrium tamarense [cells/l]",
"biology","biomass","Azadinium spinosum [cells/l]",
"biology","biomass","Gymnodiniales indet. 40-50um [cells/l]",
"biology","biomass","Gymnodinium sp. 13 [cells/l]",
"biology","biomass","Parafavella gigantea [cells/l]",
"biology","biomass","Tintinnopsis beroidea [cells/l]",
"biology","biomass","Amylax triacantha [cells/l]",
"biology","biomass","Cell non det. 7 domek [cells/l]",
"biology","biomass","Didinium sp. [cells/l]","Didinium sp."
"biology","biomass","Dinophysis norvegica [cells/l]",
"biology","biomass","Eutintinnus sp. cf. E. tubulosus [cells/l]",
"biology","biomass","Gyrodinium sp. 1 [cells/l]",
"biology","biomass","Licmophora sp. [cells/l]","Licmophora sp."
"biology","biomass","Neoceratium arcticum [cells/l]",
"biology","biomass","Pentapharsodinium sp. cyst [cells/l]",
"biology","biomass","Ptychocylis obtusa [cells/l]",
"biology","biomass","Scrippsiella sp. [cells/l]","Scrippsiella sp."
"biology","biomass","Gyrodinium sp. 10-20um [cells/l]",
"biology","biomass","Gyrodinium sp. 20-30um [cells/l]",
"biology","biomass","Chaetoceros simplex [cells/l]",
"biology","biomass","Gymnodinium sp. 5 [cells/l]",
"biology","biomass","Gyrodinium sp. 2 [cells/l]",
"biology","biomass","Uronema marinum [cells/l]",
"biology","biomass","Pennate non det. [cells/l]",
"biology","biomass","Dinoflagellatae cyst [cells/l]",
"biology","biomass","Pseudo-nitzschia pungens [cells/l]",
"biology","biomass","Nitzschia sp. [cells/l]","Nitzschia sp."
"biology","biomass","Chaetoceros simplex cyst [cells/l]",
"biology","biomass","Commation  sp. [cells/l]",
"biology","biomass","Gonyaulax sp. [cells/l]","Gonyaulax sp."
"biology","biomass","Cochlodinium  sp. [cells/l]",
"biology","biomass","Heterocapsa triquetra [cells/l]",
"biology","biomass","Scrippsiella trochoidea [cells/l]",
"biology","biomass","Euplotes sp. [cells/l]","Euplotes sp."
"biology","biomass","Protoperidinium pyriforme [cells/l]",
"biology","biomass","Protoperidinium sp. 20-30um [cells/l]",
"biology","biomass","Plagioselmis prolonga [cells/l]",
"biology","biomass","Ciliophora non det Non det. 30-40um [cells/l]",
"biology","biomass","Bivalvia - veliger; 5 lt [ind/m3]",
"biology","biomass","Eukrohnia hamata; 5 lt [ind/m3]",
"biology","biomass","Euphausiacea - nauplii [ind/m3]",
"biology","biomass","Fritillaria borealis; 1 lt [ind/m3]",
"biology","biomass","Gastropoda - veliger; 5 gte [ind/m3]",
"biology","biomass","Limacina retroversa; 5 lt [ind/m3]",
"biology","biomass","Pseudocalanus minutus - CI [ind/m3]",
"biology","biomass","Pseudocalanus minutus - CII [ind/m3]",
"biology","biomass","Pseudocalanus minutus - CIII [ind/m3]",
"biology","biomass","Pseudocalanus minutus - CIV [ind/m3]",
"biology","biomass","Pseudocalanus minutus - CV [ind/m3]",
